ref,pollster,fieldwork_end,party_id,raw_pct,shown_passing
4036,Midgam Project & StatNet,2026-07-28,blue_white,1.4,True
4036,Midgam Project & StatNet,2026-07-28,likud,10.7,True
4036,Midgam Project & StatNet,2026-07-28,shas,7.8,True
4036,Midgam Project & StatNet,2026-07-28,rzp,4.4,True
4036,Midgam Project & StatNet,2026-07-28,utj,15.1,True
4036,Midgam Project & StatNet,2026-07-28,yashar,6.0,True
4036,Midgam Project & StatNet,2026-07-28,balad+hadash_taal,0.0,True
4036,Midgam Project & StatNet,2026-07-28,otzma,4.8,True
4036,Midgam Project & StatNet,2026-07-28,democrats,5.4,True
4040,Kantar,2026-08-02,likud,18.4,True
4040,Kantar,2026-08-02,together,10.5,True
4040,Kantar,2026-08-02,yashar,18.3,True
4040,Kantar,2026-08-02,democrats,6.4,True
4040,Kantar,2026-08-02,zionist_home,3.3,True
4040,Kantar,2026-08-02,rzp,3.3,True
4040,Kantar,2026-08-02,otzma,7.2,True
4040,Kantar,2026-08-02,yisrael_beytenu,7.2,True
4040,Kantar,2026-08-02,shas,6.4,True
4040,Kantar,2026-08-02,utj,6.4,True
4040,Kantar,2026-08-02,balad+hadash_taal,4.8,True
4040,Kantar,2026-08-02,blue_white,1.4,True
4040,Kantar,2026-08-02,raam,3.8,True
4040,Kantar,2026-08-02,amcha_yisrael,3.0,True
4040,Kantar,2026-08-02,unity,2.8,True
4042,Tatika,2026-07-29,yashar,18.0,True
4042,Tatika,2026-07-29,likud,16.4,True
4042,Tatika,2026-07-29,together,10.6,True
4042,Tatika,2026-07-29,yisrael_beytenu,18.2,True
4042,Tatika,2026-07-29,democrats,36.6,True
4042,Tatika,2026-07-29,shas,36.6,True
4042,Tatika,2026-07-29,utj,36.6,True
4042,Tatika,2026-07-29,raam,24.4,True
4042,Tatika,2026-07-29,rzp,34.6,True
4042,Tatika,2026-07-29,unity,4.0,True
4042,Tatika,2026-07-29,zionist_home,22.4,False
4042,Tatika,2026-07-29,blue_white,12.2,False
4046,Midgam,2026-08-03,yashar,18.7,True
